gc_id,act_date,sim_season,sim_week,sim_date,exp_day,set_max,set_min,set_mean,act_max,act_min,act_mean,set_hrs_light,act_hrs_light
extended,25-Jul-25,autumn,week 16,26-Aug,106,12,7,10,,,,21,21
extended,26-Jul-25,autumn,week 16,27-Aug,107,12,7,10,,,,21,21
extended,27-Jul-25,autumn,week 16,28-Aug,108,12,7,10,,,,21,21
extended,28-Jul-25,autumn,week 16,29-Aug,109,12,7,10,,,,18,18
extended,29-Jul-25,autumn,week 16,30-Aug,110,12,7,10,,,,18,18
extended,30-Jul-25,autumn,week 16,31-Aug,111,12,7,10,,,,18,18
extended,31-Jul-25,autumn,week 16,01-Sep,112,12,7,10,,,,18,18
extended,01-Aug-25,autumn,week 17,02-Sep,113,12,7,10,,,,18,18
extended,02-Aug-25,autumn,week 17,03-Sep,114,12,7,10,,,,18,18
extended,03-Aug-25,autumn,week 17,04-Sep,115,12,7,10,,,,18,18
extended,04-Aug-25,autumn,week 17,05-Sep,116,6,1,2.5,,,,18,18
extended,05-Aug-25,autumn,week 17,06-Sep,117,6,1,2.5,,,,15,15
extended,06-Aug-25,autumn,week 17,07-Sep,118,6,1,2.5,,,,15,15
extended,07-Aug-25,autumn,week 17,08-Sep,119,6,1,2.5,,,,15,15
extended,08-Aug-25,autumn,week 18,09-Sep,120,6,1,2.5,,,,15,15
extended,09-Aug-25,autumn,week 18,10-Sep,121,6,1,2.5,,,,15,15
extended,10-Aug-25,autumn,week 18,11-Sep,122,6,1,2.5,,,,15,15
extended,11-Aug-25,autumn,week 18,12-Sep,123,3,-1,0.5,,,,12,12
extended,12-Aug-25,autumn,week 18,13-Sep,124,3,-1,0.5,,,,12,12
extended,13-Aug-25,autumn,week 18,14-Sep,125,3,-1,0.5,,,,12,12
extended,14-Aug-25,autumn,week 18,15-Sep,126,3,-1,0.5,,,,12,12
extended,15-Aug-25,autumn,week 19,16-Sep,127,3,-1,0.5,,,,12,12
extended,16-Aug-25,autumn,week 19,17-Sep,128,3,-1,0.5,,,,12,12
extended,17-Aug-25,autumn,week 19,18-Sep,129,3,-1,0.5,,,,12,12
extended,18-Aug-25,autumn,week 19,19-Sep,130,1,-3,-1.5,,,,9,9
extended,19-Aug-25,autumn,week 19,20-Sep,131,1,-3,-1.5,,,,9,9
extended,20-Aug-25,autumn,week 19,21-Sep,132,1,-3,-1.5,,,,9,9
extended,21-Aug-25,winter,week 19,22-Sep,133,1,-3,-1.5,,,,9,9
extended,22-Aug-25,winter,week 20,23-Sep,134,1,-3,-1.5,,,,9,9
extended,23-Aug-25,winter,week 20,24-Sep,135,-20,-20,-20,na,na,na,0,0
extended,24-Aug-25,winter,week 20,25-Sep,136,-20,-20,-20,na,na,na,0,0
extended,25-Aug-25,winter,week 20,26-Sep,137,-20,-20,-20,na,na,na,0,0
extended,26-Aug-25,winter,week 20,27-Sep,138,-20,-20,-20,na,na,na,0,0
extended,27-Aug-25,winter,week 20,28-Sep,139,-20,-20,-20,na,na,na,0,0
extended,28-Aug-25,winter,week 20,29-Sep,140,-20,-20,-20,na,na,na,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
